Date;Ano;Mês;Nome_mês;Trimestre;Dia;Dia_da_Semana;Tipo_dia
01/01/2010;2010;1;janeiro;1;1;sexta-feira;FERIADO
02/01/2010;2010;1;janeiro;1;2;sábado;FINAL DE SEMANA
03/01/2010;2010;1;janeiro;1;3;domingo;FINAL DE SEMANA
04/01/2010;2010;1;janeiro;1;4;segunda-feira;DIA UTIL
05/01/2010;2010;1;janeiro;1;5;terça-feira;DIA UTIL
06/01/2010;2010;1;janeiro;1;6;quarta-feira;DIA UTIL
07/01/2010;2010;1;janeiro;1;7;quinta-feira;DIA UTIL
08/01/2010;2010;1;janeiro;1;8;sexta-feira;DIA UTIL
09/01/2010;2010;1;janeiro;1;9;sábado;FINAL DE SEMANA
10/01/2010;2010;1;janeiro;1;10;domingo;FINAL DE SEMANA
11/01/2010;2010;1;janeiro;1;11;segunda-feira;DIA UTIL
12/01/2010;2010;1;janeiro;1;12;terça-feira;DIA UTIL
13/01/2010;2010;1;janeiro;1;13;quarta-feira;DIA UTIL
14/01/2010;2010;1;janeiro;1;14;quinta-feira;DIA UTIL
15/01/2010;2010;1;janeiro;1;15;sexta-feira;DIA UTIL
16/01/2010;2010;1;janeiro;1;16;sábado;FINAL DE SEMANA
17/01/2010;2010;1;janeiro;1;17;domingo;FINAL DE SEMANA
18/01/2010;2010;1;janeiro;1;18;segunda-feira;DIA UTIL
19/01/2010;2010;1;janeiro;1;19;terça-feira;DIA UTIL
20/01/2010;2010;1;janeiro;1;20;quarta-feira;DIA UTIL
21/01/2010;2010;1;janeiro;1;21;quinta-feira;DIA UTIL
22/01/2010;2010;1;janeiro;1;22;sexta-feira;DIA UTIL
23/01/2010;2010;1;janeiro;1;23;sábado;FINAL DE SEMANA
24/01/2010;2010;1;janeiro;1;24;domingo;FINAL DE SEMANA
25/01/2010;2010;1;janeiro;1;25;segunda-feira;DIA UTIL
26/01/2010;2010;1;janeiro;1;26;terça-feira;DIA UTIL
27/01/2010;2010;1;janeiro;1;27;quarta-feira;DIA UTIL
28/01/2010;2010;1;janeiro;1;28;quinta-feira;DIA UTIL
29/01/2010;2010;1;janeiro;1;29;sexta-feira;DIA UTIL
30/01/2010;2010;1;janeiro;1;30;sábado;FINAL DE SEMANA
