cod_proposta;cod_cliente;cod_colaborador;data_entrada_proposta;horario_entrada_proposta;taxa_juros_mensal;valor_proposta;valor_financiamento;valor_entrada;valor_prestacao;quantidade_parcelas;carencia;status_proposta
116;338;1;30/05/2014;18:43:12;0.0194;36199.95;50032.03;13832.08;1045.22;58;0;Enviada
715;45;1;17/06/2021;13:09:32;0.0131;12897.54;19848.55;6951.01;232.12;100;1;Enviada
755;494;1;10/08/2021;04:24:02;0.0203;122236.31;187154.36;64918.05;3673.52;56;0;Enviada
953;381;1;23/02/2011;07:57:58;0.0167;47784.65;59530.61;11745.96;955.04;109;3;Enviada
1046;176;1;15/11/2010;16:03:28;0.0211;178393.04;214294.19;35901.15;10219.66;22;4;Enviada
1171;732;1;04/05/2020;21:51:58;0.0242;40476.96;56464.88;15987.92;20976.06;2;0;Enviada
1434;560;1;31/01/2020;00:02:49;0.0169;137637.62;192947.94;55310.32;2861.61;100;0;Enviada
1744;159;1;04/03/2016;20:31:58;0.018;1317.13;1605.63;288.50;36.08;60;2;Enviada
1864;776;1;13/09/2019;10:21:31;0.011;106127.47;128472.96;22345.49;1774.93;98;4;Enviada
1928;421;1;08/05/2014;15:43:27;0.02;3455.61;6668.98;3213.37;211.33;20;2;Enviada
41;608;2;04/03/2021;08:08:46;0.0136;168359.68;235794.55;67434.87;35058.12;5;4;Enviada
416;342;2;11/10/2015;14:28:01;0.0187;112227.05;215028.75;102801.70;3156.68;59;1;Enviada
581;81;2;19/03/2022;23:43:49;0.0183;59901.04;112333.57;52432.53;1309.80;100;6;Enviada
678;788;2;03/02/2011;06:12:10;0.0165;111091.75;167331.74;56239.99;5459.06;25;3;Enviada
1272;673;2;13/10/2012;07:02:05;0.0204;53294.79;69167.42;15872.63;1370.96;78;6;Enviada
1469;895;2;08/04/2022;06:23:32;0.0199;38892.28;68709.07;29816.79;1298.52;46;6;Enviada
91;117;3;24/03/2010;01:05:13;0.0174;71838.24;111779.56;39941.32;1616.71;86;1;Enviada
102;859;3;16/06/2021;09:12:09;0.0164;107696.23;199719.09;92022.86;2441.64;79;2;Enviada
523;587;3;31/12/2012;07:51:31;0.019;42714.08;51641.15;8927.07;1835.94;31;6;Enviada
979;778;3;28/06/2014;16:57:58;0.0238;104763.13;157840.73;53077.60;2717.98;106;4;Enviada
1564;419;3;10/11/2013;00:28:30;0.0218;13502.18;21466.99;7964.81;1668.47;9;5;Enviada
86;938;4;17/06/2013;23:23:46;0.0135;3184.44;5522.97;2338.53;61.34;90;5;Enviada
209;635;4;10/06/2011;22:53:56;0.0142;161192.35;233647.20;72454.85;19205.79;9;6;Enviada
226;88;4;08/05/2010;06:27:52;0.0194;121138.65;154297.83;33159.18;2680.15;109;6;Enviada
543;710;4;19/06/2014;18:52:17;0.0199;41698.07;66347.38;24649.31;1081.40;74;4;Enviada
