cod_transacao;num_conta;data_transacao;horario_transacao;nome_transacao;valor_transacao
3100;256;22/05/2020;03:15:21;Saque;-130.00
28405;256;29/06/2021;11:52:38;Saque;-255.00
1776;512;17/05/2020;13:04:50;Saque;-250.00
14311;512;06/09/2020;02:55:34;Saque;-80.00
25012;512;16/10/2020;09:26:52;Saque;-475.00
26883;512;09/11/2020;00:47:27;Saque;-210.00
35017;512;13/04/2021;08:17:24;Saque;-50.00
46264;512;01/05/2021;06:25:50;Saque;-1160.00
21340;768;14/02/2020;21:42:15;Saque;-170.00
64259;1;11/08/2019;15:13:07;Saque;-245.00
28202;257;26/12/2022;05:13:37;Saque;-215.00
50107;257;30/12/2022;00:00:00;Saque;-175.00
9740;513;19/09/2022;08:58:15;Saque;-130.00
18182;513;30/09/2022;20:55:16;Saque;-140.00
65003;513;30/12/2022;00:00:01;Saque;-35.00
70201;513;30/12/2022;00:00:01;Saque;-250.00
47384;769;28/11/2019;16:30:32;Saque;-120.00
53165;769;07/12/2019;14:39:41;Saque;-360.00
56160;769;08/12/2019;05:54:14;Saque;-130.00
71523;769;29/08/2022;02:51:43;Saque;-130.00
51163;2;30/12/2022;00:00:01;Saque;-190.00
53595;2;30/12/2022;00:00:00;Saque;-35.00
71539;2;30/12/2022;00:00:01;Saque;-65.00
46162;258;02/01/2016;01:00:36;Saque;-215.00
39404;514;29/12/2022;23:59:59;Saque;-345.00
42072;514;29/12/2022;23:59:59;Saque;-110.00
57169;514;29/12/2022;00:00:00;Saque;-85.00
58524;514;29/12/2022;23:59:59;Saque;-820.00
16523;770;29/12/2022;22:26:58;Saque;-75.00
23616;770;29/12/2022;23:59:25;Saque;-400.00
42140;3;20/12/2020;15:46:11;Saque;-100.00
60681;3;16/07/2021;19:06:36;Saque;-80.00
2946;259;14/11/2019;05:48:27;Saque;-565.00
13546;259;08/06/2020;02:56:17;Saque;-250.00
51920;259;29/12/2022;23:59:52;Saque;-215.00
34167;771;30/10/2020;23:56:12;Saque;-860.00
35751;771;30/11/2020;17:59:02;Saque;-90.00
40239;4;27/12/2019;06:41:30;Saque;-35.00
41314;4;13/01/2020;20:49:52;Saque;-260.00
51740;4;05/04/2020;13:26:51;Saque;-735.00
69658;4;19/11/2020;10:16:56;Saque;-140.00
24975;516;03/11/2020;02:18:21;Saque;-20.00
53075;516;29/12/2022;23:29:16;Saque;-520.00
14511;772;28/02/2018;09:49:42;Saque;-195.00
16095;772;02/03/2018;19:27:29;Saque;-300.00
32383;772;31/05/2020;10:17:46;Saque;-205.00
13629;5;01/01/2016;15:37:56;Saque;-50.00
21656;5;20/02/2016;12:39:02;Saque;-170.00
46080;5;15/08/2017;13:00:18;Saque;-275.00
51579;5;13/09/2017;10:09:06;Saque;-390.00
64937;5;10/06/2018;13:38:31;Saque;-185.00
68430;5;24/07/2018;01:22:33;Saque;-515.00
8427;261;10/05/2016;09:28:47;Saque;-105.00
18786;517;17/03/2021;17:29:28;Saque;-195.00
30913;517;11/08/2022;06:05:29;Saque;-310.00
67325;517;29/12/2022;23:59:52;Saque;-210.00
67670;517;29/12/2022;23:59:59;Saque;-65.00
8469;773;16/03/2018;00:01:21;Saque;-235.00
35187;773;09/02/2020;05:46:29;Saque;-170.00
